time,E_hw_wet_well
0.03125,129070.33815453
0.09375,131970.04912022
0.21875,133826.09487283
0.46875,134628.14234976
0.96875,134615.43529632
1.96875,134121.05487356
2.96875,133699.93010912
3.96875,133419.25846091
4.96875,133240.96821655
5.96875,133126.60426757
6.96875,133051.08125856
7.96875,132999.62509489
8.96875,132963.6796271
9.96875,132938.19199024
10.96875,132920.06702735
11.96875,132907.32593773
12.96875,132898.64889339
13.96875,132893.121287
14.96875,132890.0877794
15.96875,132889.06549471
16.96875,132889.69008097
17.96875,132891.68114162
18.96875,132894.81904571
19.96875,132898.92922729
20.96875,132903.8711141
21.96875,132909.53019008
22.96875,132915.81219971
23.96875,132922.63883999
24.96875,132929.94450915
25.96875,132937.67382626
26.46875,132941.68592236
27.46875,132949.96932884
28.46875,132958.56767018
29.46875,132967.45096392
30.46875,132976.59197936
31.46875,132985.96658065
32.46875,132995.55348479
33.46875,133005.3339192
33.96875,133010.29271292
34.96875,133020.33463028
35.46875,133025.41507278
36.46875,133035.68528077
37.46875,133046.09177278
37.96875,133051.34382648
38.96875,133061.93773047
39.96875,133072.64401842
40,133072.98039303
