time,E_hw_wet_well
0.03125,129070.30894837
0.09375,131969.98172752
0.21875,133825.98751785
0.46875,134628.00022096
0.96875,134615.27017562
1.96875,134120.88161379
2.96875,133699.7623145
3.96875,133419.09828231
4.96875,133240.81479781
5.96875,133126.45629605
6.96875,133050.93758004
7.96875,132999.48485269
8.96875,132963.54217262
9.96875,132938.05683159
10.96875,132919.93378628
11.96875,132907.19431555
12.96875,132898.51870067
13.96875,132892.99229948
14.96875,132889.95982904
15.96875,132888.93843649
16.96875,132889.5638291
17.46875,132890.42464841
18.46875,132893.04051013
19.46875,132896.69159305
20.46875,132901.23450325
21.46875,132906.54693427
21.96875,132909.4667571
22.96875,132915.75716665
23.46875,132919.11277947
24.46875,132926.19281982
25.46875,132933.71691226
26.46875,132941.63823013
27.46875,132949.91464968
28.46875,132958.50928458
28.96875,132962.91817209
29.96875,132971.9345399
30.96875,132981.19418328
31.96875,132990.67582421
32.96875,133000.35994123
33.96875,133010.22903787
34.96875,133020.26752805
35.96875,133030.46155223
36.96875,133040.79873238
37.96875,133051.26799772
38.46875,133056.54977837
39.46875,133067.19990215
40,133072.90287686
