time,E_hw_wet_well
0.03125,129100.77260609
0.09375,132027.43940501
0.21875,133900.51078708
0.46875,134709.87458525
0.96875,134697.01958356
1.96875,134198.11846446
2.96875,133773.18770654
3.96875,133490.01319759
4.96875,133310.16367481
5.96875,133194.82785243
6.96875,133118.68918352
7.96875,133066.8378145
8.96875,133030.63911256
9.96875,133004.99392081
10.96875,132986.77874562
11.96875,132973.99667824
12.96875,132965.31586342
13.96875,132959.81325493
14.96875,132956.82754344
15.96875,132955.87144138
16.96875,132956.57730134
17.46875,132957.48342354
18.46875,132960.19812304
19.46875,132963.95758986
20.46875,132968.6171168
21.46875,132974.05326242
22.46875,132980.16282615
23.46875,132986.85967574
24.46875,132994.07170368
25.46875,133001.73816879
26.46875,133009.80758707
26.96875,133013.98274995
27.96875,133022.5806567
28.46875,133026.9966701
29.46875,133036.03898049
30.46875,133045.33902832
31.46875,133054.87406686
32.46875,133064.62317687
32.96875,133069.57349211
33.96875,133079.61110302
34.96875,133089.8183173
35.96875,133100.18203984
36.96875,133110.69008787
37.96875,133121.33139386
38.96875,133132.09597113
39.96875,133142.97481558
40,133143.31661347
