time,E_hw_wet_well
0.03125,129070.30932817
0.09375,131969.98288284
0.21875,133825.99026302
0.46875,134628.0060828
0.96875,134615.28220651
1.96875,134120.90599497
2.46875,133859.47365096
3.46875,133491.15266764
4.46875,133268.15408054
5.46875,133131.65098258
6.46875,133045.1202807
7.46875,132988.09499079
8.46875,132949.28615815
9.46875,132922.32735216
10.46875,132903.47707612
11.46875,132890.42651543
12.46875,132881.67980536
13.46875,132876.22392309
14.46875,132873.34627507
15.46875,132872.52943074
16.46875,132873.38762361
17.46875,132875.62681744
18.46875,132879.01868296
19.46875,132883.38304173
20.46875,132888.57571382
21.46875,132894.47990378
22.46875,132900.99996113
23.46875,132908.05678297
24.46875,132915.58437598
25.46875,132923.52721239
26.46875,132931.83826384
26.96875,132936.12213758
27.96875,132944.91615509
28.96875,132953.98558132
29.96875,132963.30467068
30.96875,132972.85000345
31.96875,132982.60075969
32.96875,132992.53854455
33.96875,133002.64710373
34.96875,133012.91203634
35.46875,133018.10006454
36.46875,133028.57732732
37.46875,133039.18059421
38.46875,133049.90082389
39.46875,133060.72955085
40,133066.52434552
