time,E_hw_wet_well
0.03125,129070.30700279
0.09375,131969.97726984
0.21875,133825.98055022
0.46875,134627.99124936
0.96875,134615.2603002
1.96875,134120.87250681
2.46875,133859.43494289
3.46875,133491.10355884
4.46875,133268.09445462
5.46875,133131.58073153
6.46875,133045.03932229
7.46875,132988.0032666
8.46875,132949.18361926
9.46875,132922.21395738
10.46875,132903.35281318
11.46875,132890.29138603
12.46875,132881.53378914
13.46875,132876.06700257
14.46875,132873.17844347
15.46875,132872.35067755
16.46875,132873.19795177
17.46875,132875.42622992
18.46875,132878.8071765
19.46875,132883.16061627
19.96875,132885.66659707
20.96875,132891.2311779
21.96875,132897.44701603
22.46875,132900.7798334
23.46875,132907.83360389
24.46875,132915.35173041
25.46875,132923.28304132
26.46875,132931.5819547
27.46875,132940.20883929
27.96875,132944.63697338
28.96875,132953.69648688
29.96875,132963.00423363
30.46875,132967.74584365
31.46875,132977.38683405
32.46875,132987.22207887
33.46875,132997.2354522
34.46875,133007.41205039
35.46875,133017.73843309
36.46875,133028.20256764
37.46875,133038.79366663
38.46875,133049.5020909
38.96875,133054.89821921
39.96875,133065.76753036
40,133066.10884626
