time,E_hw_wet_well
0.03125,129070.31783883
0.09375,131970.00158227
0.21875,133826.01851566
0.46875,134628.0407547
0.96875,134615.31714826
1.96875,134120.9314174
2.46875,133859.49214005
3.46875,133491.15717781
3.96875,133370.74270738
4.96875,133202.7183164
5.96875,133095.23310074
6.96875,133024.50531281
7.96875,132976.54363321
8.96875,132943.25061349
9.96875,132919.84628691
10.96875,132903.40342971
11.96875,132892.05090811
12.96875,132884.540855
13.46875,132882.00866272
14.46875,132878.79775324
15.46875,132877.64233612
16.46875,132878.18584313
17.46875,132880.13990555
18.46875,132883.27472502
19.46875,132887.40690123
19.96875,132889.81078899
20.96875,132895.18569257
21.96875,132901.22898994
22.96875,132907.85842876
23.96875,132915.00231444
24.96875,132922.5993462
25.46875,132926.55512532
26.46875,132934.74177179
27.46875,132943.26144351
28.46875,132952.08129926
29.46875,132961.17167307
30.46875,132970.50637698
31.46875,132980.06241138
32.46875,132989.81958927
33.46875,132999.76011924
34.46875,133009.86828986
35.46875,133020.13016595
36.46875,133030.53334872
37.46875,133041.06676664
38.46875,133051.7205044
39.46875,133062.48565531
40,133068.24778236
