time,E_hw_wet_well
0.03125,129070.30043205
0.09375,131969.96211145
0.21875,133825.95642419
0.46875,134627.9593618
0.96875,134615.22336327
1.96875,134120.83401528
2.46875,133859.39754561
3.46875,133491.0684884
4.46875,133268.06136726
5.46875,133131.54923872
6.46875,133045.0091208
7.46875,132987.97413577
8.46875,132949.15541937
9.46875,132922.18656015
10.46875,132903.32612729
11.46875,132890.26533997
11.96875,132885.52822348
12.96875,132878.64897087
13.96875,132874.57706526
14.96875,132872.77334991
15.96875,132872.81462078
16.96875,132874.37227399
17.96875,132877.19008689
18.96875,132881.0662379
19.96875,132885.83990869
20.96875,132891.38145593
21.96875,132897.58522513
22.96875,132904.36421192
23.96875,132911.64614713
24.96875,132919.37049018
25.96875,132927.48612115
26.96875,132935.94957779
27.96875,132944.72368285
28.96875,132953.77643495
29.96875,132963.0801301
30.96875,132972.6106701
31.96875,132982.34699289
32.96875,132992.27060989
33.96875,133002.36521751
34.96875,133012.61638965
35.96875,133023.01131275
36.96875,133033.5385662
37.46875,133038.84936262
38.46875,133049.55735456
39.46875,133060.3733303
40,133066.16127523
