time,E_hw_wet_well
0.03125,129070.30924145
0.09375,131969.98262098
0.21875,133825.98964318
0.46875,134628.00475254
0.96875,134615.27946171
1.96875,134120.90040905
2.96875,133699.79062032
3.96875,133419.13610475
4.46875,133323.10177582
5.46875,133184.56994747
6.46875,133092.53179186
7.46875,133029.98065725
8.46875,132986.44768098
9.46875,132955.60940294
10.46875,132933.58344145
10.96875,132925.24379198
11.96875,132912.30442486
12.96875,132903.33332621
13.96875,132897.51104025
14.96875,132894.208626
15.96875,132892.94748659
16.96875,132893.36109134
17.96875,132895.1653784
18.46875,132896.53400161
18.96875,132898.01363474
19.46875,132899.65867875
20.46875,132903.79218078
21.46875,132908.78482961
22.46875,132914.49166357
23.46875,132920.81275301
24.46875,132927.67008356
24.96875,132931.28420617
25.96875,132938.8352261
26.96875,132946.77583594
27.96875,132955.06655436
28.96875,132963.67185067
29.46875,132968.08491734
30.46875,132977.1079002
31.46875,132986.3722383
32.46875,132995.85700856
33.46875,133005.54298993
34.46875,133015.41295371
35.46875,133025.45152726
36.46875,133035.64500958
37.46875,133045.98117728
38.46875,133056.44907138
38.96875,133061.73005583
39.96875,133072.37844315
40,133072.71305535
