time,E_hw_wet_well
0.03125,129070.29946217
0.09375,131969.9600122
0.21875,133825.9530358
0.46875,134627.95473526
0.96875,134615.21790091
1.96875,134120.82824182
2.46875,133859.39191814
3.46875,133491.0631946
4.46875,133268.05635806
5.46875,133131.54446283
6.46875,133045.00453759
7.46875,132987.96971319
8.46875,132949.15112262
9.46875,132922.18237777
10.46875,132903.3220469
11.46875,132890.26135207
12.46875,132881.50442669
13.46875,132876.03826325
14.46875,132873.15028066
15.46875,132872.32307093
16.46875,132873.17086612
17.46875,132875.39963823
17.96875,132876.97547092
18.96875,132880.88479157
19.96875,132885.67473739
20.96875,132891.22637658
21.96875,132897.43772828
22.96875,132904.22310515
23.46875,132907.8136563
24.46875,132915.33631463
25.46875,132923.2691435
26.46875,132931.56857081
27.46875,132940.19564043
28.46875,132949.11630744
29.46875,132958.30097682
29.96875,132962.98608793
30.96875,132972.52214514
31.96875,132982.2619418
32.96875,132992.18824664
33.96875,133002.28519244
34.96875,133012.538506
35.96875,133022.93542841
36.96875,133033.46456532
37.96875,133044.11572482
38.96875,133054.87974104
39.96875,133065.74838782
40,133066.08971075
