time,E_hw_wet_well
0.03125,129033.19718182
0.09375,131899.99913921
0.21875,133735.23775646
0.46875,134528.3202385
0.96875,134516.54419313
1.96875,134035.44528953
2.46875,133783.24290952
3.46875,133430.30171508
4.46875,133216.79718518
5.46875,133085.73662088
6.46875,133002.62647254
7.46875,132948.01456175
8.46875,132911.00222197
9.46875,132885.41582248
10.46875,132867.64205882
11.46875,132855.45713811
12.46875,132847.41973662
13.46875,132842.55320889
14.46875,132840.17061256
15.46875,132839.77326067
15.96875,132840.2265104
16.96875,132842.17311496
17.96875,132845.30778312
18.96875,132849.45252588
19.96875,132854.45812377
20.96875,132860.20165647
21.96875,132866.58208343
22.96875,132873.5159151
23.96875,132880.93368395
24.96875,132888.77714741
25.96875,132896.99712981
26.96875,132905.55182468
27.96875,132914.40544481
28.96875,132923.52720613
29.96875,132932.89046114
30.96875,132942.47202117
31.96875,132952.25163044
32.96875,132962.21150221
33.96875,132972.33595084
34.96875,132982.61109984
35.96875,132993.0246226
36.46875,132998.28063298
37.46875,133008.88262592
38.46875,133019.59686651
39.46875,133030.41551986
40,133036.20341624
