time,E_hw_wet_well
0.03125,129070.30235013
0.09375,131969.96575185
0.21875,133825.96264751
0.46875,134627.96794597
0.96875,134615.2336431
1.96875,134120.84499264
2.96875,133699.72857446
3.96875,133419.06783115
4.96875,133240.78744349
5.96875,133126.4317338
6.96875,133050.9155487
7.96875,132999.46514579
8.96875,132963.52463833
9.96875,132938.04135888
10.96875,132919.92028774
11.46875,132913.11434195
12.46875,132902.71100826
13.46875,132895.74630629
14.46875,132891.53573636
15.46875,132889.54785862
16.46875,132889.37406266
17.46875,132890.69848038
18.46875,132893.2742612
19.46875,132896.90606294
20.46875,132901.43738511
21.46875,132906.74138703
22.46875,132912.71416429
23.46875,132919.26977927
24.46875,132926.33652916
25.46875,132933.85410804
25.96875,132937.76954348
26.96875,132945.8750772
27.96875,132954.31370678
28.96875,132963.05314273
29.96875,132972.06414993
30.96875,132981.32085858
31.96875,132990.8005086
32.96875,133000.48308768
33.96875,133010.35088487
34.96875,133020.38825844
35.96875,133030.58130764
36.96875,133040.91764211
37.96875,133051.38617941
38.96875,133061.97698686
39.96875,133072.68111197
40,133073.01743439
