time,E_hw_wet_well
0.03125,129070.29695119
0.09375,131969.95349136
0.21875,133825.94207382
0.46875,134627.93980064
0.96875,134615.20028972
1.96875,134120.80996846
2.96875,133699.69478035
3.96875,133419.03580494
4.96875,133240.75703069
5.96875,133126.40268061
6.96875,133050.88763136
7.96875,132999.43818161
8.96875,132963.49850024
9.96875,132938.01594935
10.96875,132919.8955331
11.96875,132907.15855807
12.96875,132898.48534301
13.46875,132895.44198506
14.46875,132891.31544229
15.46875,132889.36268283
16.46875,132889.20657798
17.46875,132890.54213213
18.46875,132893.12629453
19.46875,132896.76509112
20.46875,132901.30256028
21.46875,132906.61208885
22.46875,132912.58989463
23.46875,132919.15011186
24.46875,132926.22110137
25.46875,132933.74259811
26.46875,132941.66354197
27.46875,132949.94038117
28.46875,132958.53573978
29.46875,132967.41735439
30.46875,132976.55723035
31.46875,132985.93095399
32.46875,132995.51714338
33.46875,133005.29698435
34.46875,133015.25385817
35.46875,133025.37302983
36.46875,133035.64138279
37.46875,133046.04722055
38.46875,133056.58007132
39.46875,133067.23049485
40,133072.93405676
