time,E_hw_wet_well
0.03125,129070.30941252
0.09375,131969.98089067
0.21875,133825.98352164
0.46875,134627.98986517
0.96875,134615.24742357
1.96875,134120.83458023
2.96875,133699.69124089
3.96875,133419.00324931
4.96875,133240.69583666
5.96875,133126.31341934
6.96875,133050.77079515
7.96875,132999.29416247
8.96875,132963.32758366
9.96875,132937.81835428
10.96875,132919.67143071
11.46875,132912.85259467
12.46875,132902.42352234
13.46875,132895.43313768
14.46875,132891.19693428
15.46875,132889.18346979
16.46875,132888.98412377
16.96875,132889.48655128
17.96875,132891.46813592
18.96875,132894.57602679
19.96875,132898.65030633
20.96875,132903.555219
21.96875,132909.17775896
22.46875,132912.23523188
23.46875,132918.77248919
24.46875,132925.81438682
25.46875,132933.30507545
26.46875,132941.19494969
27.46875,132949.44084701
28.46875,132958.00563526
29.46875,132966.85703749
30.46875,132975.96703273
31.46875,132985.31118171
32.46875,132994.86807258
33.46875,133004.6188691
33.96875,133009.56297481
34.96875,133019.57574681
35.96875,133029.7430745
36.96875,133040.05336289
37.96875,133050.49579859
38.46875,133055.76420751
39.46875,133066.38770516
40,133072.07659809
