time,E_hw_wet_well
0.03125,129055.7846339
0.09375,131942.59029977
0.21875,133790.46238404
0.46875,134588.97166704
0.96875,134576.30250133
1.96875,134084.06731708
2.96875,133664.76703128
3.96875,133385.30182333
4.96875,133207.76696987
5.96875,133093.87647615
6.96875,133018.65541543
7.96875,132967.39484651
8.96875,132931.57634426
9.96875,132906.16935026
10.46875,132896.57533992
10.96875,132889.82700166
11.96875,132878.06954232
12.96875,132869.36706471
13.96875,132863.51887792
14.96875,132860.10729403
15.96875,132858.72216322
16.96875,132859.01681398
17.96875,132860.71125014
18.96875,132863.58168071
19.96875,132867.44881114
20.96875,132872.16788588
21.96875,132877.62093953
22.96875,132883.71093399
23.96875,132890.35732825
24.96875,132897.49275488
25.96875,132905.06027839
26.96875,132913.01163409
27.96875,132921.30554357
28.96875,132929.90650258
29.96875,132938.78379934
30.46875,132943.31963044
31.46875,132952.56519115
32.46875,132962.02459948
33.46875,132971.67994478
34.46875,132981.51471412
35.46875,132991.51403484
36.46875,133001.66460651
37.46875,133011.95451106
38.46875,133022.37309413
39.46875,133032.91077585
40,133038.55502414
