time,E_hw_wet_well
0.03125,129172.28515053
0.09375,132162.31224488
0.21875,134075.45830338
0.46875,134902.10262248
0.96875,134888.97726685
1.96875,134379.49757124
2.46875,134110.11451185
3.46875,133730.66887486
4.46875,133501.02904268
5.46875,133360.55167272
6.46875,133271.58713671
7.46875,133213.03750974
8.46875,133173.26597327
9.46875,133145.70992694
10.46875,133126.51260393
11.46875,133113.29403918
12.46875,133104.51222799
13.46875,133099.12290955
14.46875,133096.39152662
15.46875,133095.78468885
16.46875,133096.90472427
17.46875,133099.44852799
18.46875,133103.1807209
19.46875,133107.91556638
20,133110.79757854
