time,E_hw_wet_well
0.03125,129124.36216612
0.09375,132071.88052143
0.21875,133958.07732095
0.46875,134773.03234195
0.71875,134388.37732203
1.21875,133780.78973628
2.21875,133152.44058089
3.21875,132895.09293116
4.21875,132793.49738774
5.21875,132755.2217484
6.21875,132742.92711032
7.21875,132741.76576825
8.21875,132745.76038815
9.21875,132752.40983327
10.21875,132760.5955384
11.21875,132769.7692527
12.21875,132779.63253345
13.21875,132790.00573618
14.21875,132800.77136734
15.21875,132811.84768076
16.21875,132823.17518959
17.21875,132834.70924484
18.21875,132846.41549615
19.21875,132858.26701816
20,132867.61419393
