time,E_hw_wet_well
0.03125,129195.8904816
0.09375,132206.74199479
0.21875,134132.94995337
0.46875,134965.10487499
0.71875,134572.24436414
1.21875,133951.7422073
2.21875,133310.13770785
3.21875,133047.47224451
4.21875,132943.88720519
5.21875,132904.97385264
6.21875,132892.59551495
7.21875,132891.58752432
8.21875,132895.84510647
9.21875,132902.81388202
10.21875,132911.35151758
11.21875,132920.89811956
12.21875,132931.14891768
13.21875,132941.92045879
14.21875,132953.09276863
15.21875,132964.58236029
16.21875,132976.32851198
16.71875,132982.28646282
17.71875,132994.33960093
18.71875,133006.55092696
19.71875,133018.89805637
20,133022.39366685
