time,E_hw_wet_well
0.03125,129132.83126777
0.09375,132087.92125705
0.21875,133978.99153413
0.46875,134796.14343975
0.96875,134783.20867758
1.96875,134279.60614092
2.96875,133850.68766873
3.96875,133564.88858494
4.96875,133383.40807022
5.96875,133267.06190027
6.96875,133190.29019563
7.46875,133162.79384162
8.46875,133120.39996157
8.96875,133104.28561925
9.96875,133078.93102036
10.96875,133060.60293194
11.96875,133047.6270976
12.96875,133038.77000875
13.96875,133033.13300732
14.96875,133030.05618769
15.96875,133029.04746727
16.96875,133029.73347884
17.96875,133031.82607968
18.96875,133035.09935384
19.96875,133039.37364774
20,133039.52319547
