time,E_hw_wet_well
0.03125,129070.34291848
0.09375,131970.05912932
0.21875,133826.10841887
0.46875,134628.15480452
0.96875,134615.43757635
1.96875,134121.03045532
2.96875,133699.87674577
3.96875,133419.1758266
4.96875,133240.85647333
5.96875,133126.46366716
6.46875,133086.6829165
7.46875,133026.42193137
8.46875,132983.81715812
9.46875,132953.40089372
9.96875,132941.84697029
10.96875,132923.71047711
11.96875,132910.74385462
12.96875,132901.79811591
13.96875,132896.0110064
14.96875,132892.74051293
15.46875,132891.92903603
16.46875,132891.61179758
17.46875,132892.77907327
18.46875,132895.20248345
19.46875,132898.69155681
20,132900.93544408
