time,E_hw_wet_well
0.03125,129143.46381325
0.09375,132107.88323267
0.21875,134004.73816071
0.46875,134824.25262676
0.96875,134811.09563633
1.96875,134305.79774597
2.96875,133875.52831699
3.96875,133588.85592537
4.96875,133406.83201698
5.96875,133290.14262348
6.96875,133213.146817
7.96875,133160.74486792
8.96875,133124.1926452
9.96875,133098.3265383
10.96875,133079.98365906
11.96875,133067.14196121
12.96875,133058.4528453
13.96875,133052.98167304
14.96875,133050.05882857
15.46875,133049.4299478
16.46875,133049.48920238
17.46875,133051.04519471
18.46875,133053.86745287
19.46875,133057.76389252
20,133060.22730553
