time,E_hw_wet_well
0.03125,129015.62892978
0.09375,131866.81763239
0.21875,133692.13777571
0.46875,134480.89575927
0.96875,134468.35326183
1.96875,133982.07744629
2.96875,133567.84882213
3.96875,133291.74888963
4.96875,133116.33438829
5.96875,133003.78619606
6.96875,132929.43425687
7.96875,132878.74931601
8.96875,132843.3170694
9.96875,132818.16850114
10.96875,132800.25985907
11.96875,132787.6452356
12.96875,132779.02680163
13.96875,132773.50509847
14.96875,132770.43572248
15.96875,132769.34384986
16.96875,132769.87124024
17.96875,132771.74212127
18.46875,132773.12809537
19.46875,132776.64417903
20,132778.88239668
