time,E_hw_wet_well
0.03125,129036.64003644
0.09375,131906.45988906
0.21875,133743.56880676
0.46875,134537.41222048
0.96875,134524.7806039
1.96875,134035.35272558
2.46875,133776.53636653
3.46875,133411.87246734
4.46875,133191.0501841
5.46875,133055.84161091
6.46875,132970.09567445
7.46875,132913.55397029
8.46875,132875.04260302
8.96875,132860.89741116
9.96875,132838.97100144
10.96875,132823.41103656
11.96875,132812.65300763
12.46875,132808.79188318
13.46875,132803.33226196
14.46875,132800.34965684
15.46875,132799.38720578
15.96875,132799.57357266
16.96875,132801.01819998
17.96875,132803.6888279
18.96875,132807.40237772
19.96875,132812.00495293
20,132812.1629749
