time,E_hw_wet_well
0.03125,128887.00325002
0.09375,131624.20972787
0.21875,133377.54721461
0.46875,134135.36408284
0.96875,134123.43714162
1.96875,133656.26667531
2.96875,133258.1269346
3.96875,132992.60777334
4.96875,132823.78487824
5.96875,132715.34457624
6.96875,132643.59410971
7.96875,132594.57832825
8.96875,132560.21482966
9.96875,132535.73035546
10.96875,132518.20098271
11.96875,132505.75738061
12.96875,132497.15277735
13.46875,132494.07218758
14.46875,132489.76272497
15.46875,132487.50673501
16.46875,132486.94794394
17.46875,132487.79819751
18.46875,132489.82788397
19.46875,132492.85374966
20,132494.82561344
