time,E_hw_wet_well
0.03125,129070.27238405
0.09375,131969.89790459
0.21875,133825.85255883
0.46875,134627.81583597
0.96875,134615.041221
1.96875,134120.60754633
2.96875,133699.45889994
3.96875,133418.76798379
4.96875,133240.45660875
5.96875,133126.06867908
6.96875,133050.51920754
7.96875,132999.03470629
8.96875,132963.05949703
9.96875,132937.54106638
10.96875,132919.3845086
11.96875,132906.61119852
12.96875,132897.90147531
13.96875,132892.34075722
14.96875,132889.27379194
15.96875,132888.21776624
16.96875,132888.80840088
17.96875,132890.76528952
18.96875,132893.86883373
19.96875,132897.94449978
20,132898.08737809
