time,E_hw_wet_well
0.03125,129070.33271419
0.09375,131970.03570567
0.21875,133826.07083637
0.46875,134628.10364629
0.96875,134615.37406354
1.96875,134120.95405861
2.96875,133699.79167218
3.96875,133419.08271463
4.96875,133240.75506887
5.96875,133126.35352124
6.96875,133050.7927342
7.96875,132999.29869361
8.96875,132963.31527013
9.96875,132937.78962456
10.96875,132919.62661234
11.96875,132906.84744312
12.96875,132898.13234705
13.96875,132892.56664543
14.96875,132889.49502516
15.96875,132888.43462019
16.96875,132889.02111359
17.96875,132890.97400872
18.96875,132894.07378978
19.96875,132898.14586068
20,132898.28863111
