time,E_hw_wet_well
0.03125,128942.05264825
0.09375,131728.02604523
0.21875,133512.13054927
0.46875,134283.13841524
0.96875,134270.89733123
1.96875,133795.50459545
2.96875,133390.45767964
3.96875,133120.39467707
4.96875,132948.73549697
5.96875,132838.52074997
6.96875,132765.63930475
7.96875,132715.89049555
8.96875,132681.05011015
9.96875,132656.26129302
10.96875,132638.54898513
11.96875,132626.0111723
12.96875,132617.37931081
13.96875,132611.7742419
14.96875,132608.56610088
15.96875,132607.29078097
16.96875,132607.59811425
17.96875,132609.21856523
18.96875,132611.94102351
19.96875,132615.59776481
20,132615.72694835
