time,E_hw_wet_well
0.03125,129163.90195622
0.09375,132146.51968953
0.21875,134055.00426639
0.46875,134879.67212171
0.96875,134866.63637055
1.96875,134358.46943866
2.96875,133925.69435573
3.96875,133637.36339761
4.96875,133454.31390376
5.96875,133336.99937153
6.96875,133259.62405602
7.96875,133206.99598743
8.96875,133170.31715721
9.96875,133144.39191664
10.96875,133126.03763415
11.96875,133113.21959041
12.46875,133108.54209457
13.46875,133101.73835194
14.46875,133097.72024461
15.46875,133095.97151048
16.46875,133096.08236809
17.46875,133097.73162996
18.46875,133100.66674193
19.46875,133104.6873205
20,133107.22021375
