time,E_hw_wet_well
0.03125,129182.29966841
0.09375,132181.18736416
0.21875,134099.92509071
0.46875,134928.97113309
0.96875,134915.80739087
1.96875,134404.88243595
2.96875,133969.80292389
3.96875,133679.9602411
4.96875,133495.96934833
5.96875,133378.06725266
6.96875,133300.31842982
7.96875,133247.44906325
8.96875,133210.61393994
9.96875,133184.58961291
10.96875,133166.17646834
11.96875,133153.32894243
12.96875,133144.68272091
13.96875,133139.29225953
14.96875,133136.48013144
15.96875,133135.74717193
16.96875,133136.71676387
17.96875,133139.09900623
18.96875,133142.6668736
19.96875,133147.23990902
20,133147.39885851
