time,E_hw_wet_well
0.03125,129197.71282401
0.09375,132210.21210654
0.21875,134137.50861636
0.46875,134970.18840751
0.96875,134956.88966263
1.96875,134443.638293
2.96875,134006.62860104
3.96875,133715.5235317
4.96875,133530.74800042
5.96875,133412.35679209
6.96875,133334.29725802
7.96875,133281.22719969
8.96875,133244.26202176
9.96875,133218.15513222
10.96875,133199.69278142
11.96875,133186.82039041
12.96875,133178.16764746
13.96875,133172.78485791
14.96875,133169.99162295
15.96875,133169.28660084
16.46875,133169.62320304
17.46875,133171.40472083
17.96875,133172.80059207
18.96875,133176.43981384
19.96875,133181.06834185
20,133181.22878792
