time,E_hw_wet_well
0.03125,129271.22310799
0.09375,132348.86009729
0.21875,134317.39403729
0.46875,135167.89196903
0.96875,135154.36548779
1.96875,134630.2751351
2.96875,134184.07439499
3.96875,133886.90596735
4.96875,133698.34485146
5.96875,133577.59020653
6.96875,133498.03148104
7.96875,133443.99800225
8.96875,133406.41491775
9.96875,133379.92324439
10.96875,133361.24034209
11.96875,133348.26760974
12.96875,133339.60532076
13.96875,133334.28340053
14.96875,133331.60684183
15.96875,133331.0635301
16.96875,133332.26707514
17.96875,133334.92004633
18.96875,133338.78952315
19.46875,133341.13490659
20,133343.89029946
