time,E_hw_wet_well
0.03125,129143.58313456
0.09375,132108.15746355
0.21875,134005.17154608
0.46875,134824.81755533
0.96875,134811.73136989
1.96875,134306.41830455
2.46875,134039.24633109
3.46875,133662.88235265
4.46875,133435.06196158
5.46875,133295.65179102
6.46875,133207.31930748
7.46875,133149.14448322
8.46875,133109.58868714
9.46875,133082.14476146
9.96875,133071.97168488
10.46875,133064.90871004
11.46875,133052.72695005
12.46875,133043.86002262
13.46875,133038.05141637
13.96875,133036.18435151
14.46875,133035.17319577
15.46875,133034.21826896
16.46875,133034.78676371
17.46875,133036.7486453
18.46875,133039.92278323
19.46875,133044.1362312
20,133046.75631241
