time,E_hw_wet_well
0.03125,129163.75753481
0.09375,132146.18629665
0.21875,134054.46981527
0.46875,134878.95316884
0.96875,134865.77138114
1.96875,134357.49340552
2.96875,133924.67217055
3.96875,133636.30522914
4.46875,133537.66986511
5.46875,133395.44573817
6.46875,133301.02449878
7.46875,133236.91985183
8.46875,133192.36813247
9.46875,133160.86797622
10.46875,133138.42782235
11.46875,133122.51699649
12.46875,133111.4695605
13.46875,133104.14738102
13.96875,133101.68107962
14.46875,133100.20987774
15.46875,133098.34708571
16.46875,133098.08785477
17.46875,133099.31309492
18.46875,133101.83638983
19.46875,133105.47547769
20,133107.81900033
