time,E_hw_wet_well
0.03125,129124.46366453
0.09375,132072.11510812
0.21875,133958.44836899
0.46875,134773.51382519
0.96875,134760.53251166
1.96875,134258.06406418
2.46875,133992.37801734
3.46875,133618.08763101
4.46875,133391.5006526
5.46875,133252.82514352
6.46875,133164.93972101
6.96875,133134.53541013
7.96875,133088.46320217
8.96875,133055.97810409
9.96875,133033.01178229
10.96875,133016.88334599
11.96875,133005.80598652
12.96875,132998.56023153
13.96875,132994.29051968
14.96875,132992.38007754
15.96875,132992.37304287
16.96875,132993.92497965
17.96875,132996.77057451
18.96875,133000.70200195
19.96875,133005.55404547
20,133005.72036439
