time,E_hw_wet_well
0.03125,129007.23138675
0.09375,131851.00495627
0.21875,133671.67340173
0.46875,134458.46151696
0.96875,134445.98387675
1.96875,133960.92608421
2.46875,133704.39451652
3.46875,133342.91842166
4.46875,133123.99105622
5.46875,132989.90970989
6.46875,132904.84824813
7.46875,132848.72994839
8.46875,132810.48099035
9.46875,132783.85620097
10.46875,132765.18537788
11.46875,132752.20370102
12.46875,132743.44378224
12.96875,132740.39542082
13.96875,132736.28863081
14.46875,132735.11812948
15.46875,132734.18946569
15.96875,132734.36322663
16.46875,132734.9010836
17.46875,132736.85369314
18.46875,132739.87662064
19.46875,132743.843205
20,132746.3008613
