time,E_hw_wet_well
0.03125,128980.65986765
0.09375,131800.86376437
0.21875,133606.60940282
0.46875,134386.9414848
0.96875,134374.53609819
1.96875,133893.39377429
2.96875,133483.47906042
3.96875,133210.19593872
4.96875,133036.51395007
5.96875,132925.02313814
6.96875,132851.31914581
7.96875,132801.02874932
8.96875,132765.82786189
9.96875,132740.80068865
10.96875,132722.9360443
11.96875,132710.30883373
12.96875,132701.63510765
13.96875,132696.02502725
14.96875,132692.84107441
15.96875,132691.61350233
16.96875,132691.98790138
17.46875,132692.70831294
18.46875,132695.01897952
19.46875,132698.33663405
20,132700.4705427
