time,E_hw_wet_well
0.03125,129163.80926105
0.09375,132146.30664622
0.21875,134054.65931526
0.46875,134879.19911972
0.96875,134866.04812402
1.96875,134357.76601189
2.96875,133924.91733239
3.96875,133636.51946481
4.96875,133453.40057382
5.96875,133336.01269387
6.96875,133258.5606082
7.96875,133205.85315413
8.96875,133169.09299331
9.96875,133143.08496739
10.96875,133124.64680026
11.96875,133111.74403571
12.96875,133103.0197311
13.96875,133097.53348015
14.96875,133094.61153814
15.46875,133093.98833465
16.46875,133094.06724215
17.46875,133095.65234094
18.46875,133098.5117272
19.46875,133102.45212232
20,133104.94139204
