time,E_hw_wet_well
0.03125,128996.14117937
0.09375,131830.07631419
0.21875,133644.51552201
0.46875,134428.61773381
0.96875,134416.20456431
1.96875,133932.86682899
2.46875,133677.24720687
3.46875,133317.07736747
4.46875,133098.96818698
5.46875,132965.41389545
6.46875,132880.71093755
7.46875,132824.85141964
8.46875,132786.79953403
9.46875,132760.33158782
10.46875,132741.79002171
11.46875,132728.91783235
12.46875,132720.25268834
13.46875,132714.80430802
14.46875,132711.87610714
14.96875,132711.23056818
15.96875,132711.22225248
16.46875,132711.79703504
17.46875,132713.9010388
18.46875,132717.10606067
19.46875,132721.25342312
20,132723.80278598
