time,E_hw_wet_well
0.03125,129036.64068428
0.09375,131906.45804174
0.21875,133743.56173322
0.46875,134537.39578305
0.96875,134524.74592103
1.96875,134035.28209108
2.96875,133618.33523047
3.96875,133340.41121198
4.96875,133163.8240956
5.96875,133050.51016091
6.96875,132975.63981698
7.96875,132924.5898243
8.96875,132888.89146109
9.96875,132863.54354672
10.96875,132845.48262273
11.96875,132832.75015732
12.96875,132824.0399157
13.96875,132818.44660603
14.96875,132815.32163858
15.96875,132814.18710916
16.96875,132814.68244529
17.96875,132816.53008973
18.96875,132819.51268566
19.96875,132823.45747764
20,132823.59610906
