time,E_hw_wet_well
0.03125,129029.69126535
0.09375,131893.30879522
0.21875,133726.44316793
0.46875,134518.51709826
0.96875,134505.84248338
1.96875,134017.41899979
2.46875,133759.15992876
3.46875,133395.29157583
4.46875,133174.95817223
5.46875,133040.05348792
5.96875,132995.12009276
6.96875,132928.57815137
7.96875,132882.59780387
8.96875,132850.37105374
9.96875,132827.61179342
10.96875,132811.59195035
11.96875,132800.52782731
12.96875,132793.21469679
13.96875,132788.81197849
14.46875,132787.55057512
15.46875,132786.48668009
16.46875,132787.06229267
17.46875,132789.01002433
18.46875,132792.11008853
19.46875,132796.1847876
20,132798.70611918
