time,E_hw_wet_well
0.03125,128966.83783771
0.09375,131774.84092748
0.21875,133572.93839913
0.46875,134350.04248506
0.96875,134337.7711825
1.96875,133858.68670419
2.96875,133450.45045936
3.96875,133178.24083682
4.96875,133005.20352043
5.96875,132894.09346093
6.96875,132820.61144512
7.96875,132770.44542687
8.96875,132735.30642772
9.46875,132722.09938825
10.46875,132701.34173733
11.46875,132686.35131866
11.96875,132680.68076646
12.96875,132672.04793049
13.96875,132666.36197568
14.96875,132663.06269864
15.96875,132661.70673528
16.96875,132661.94862367
17.96875,132663.51855124
18.96875,132666.20385992
19.96875,132669.83504173
20,132669.96361256
