time,E_hw_wet_well
0.03125,129223.93715203
0.09375,132259.71737088
0.21875,134201.7994226
0.46875,135040.90998673
0.96875,135027.56182109
1.96875,134510.38802589
2.46875,134236.95431071
3.46875,133851.82604744
4.46875,133618.77414608
5.46875,133476.23547526
6.46875,133385.98989658
7.46875,133326.61993882
8.46875,133286.31259699
9.46875,133258.4059166
10.46875,133238.98473064
11.46875,133225.63302646
12.46875,133216.78543324
13.46875,133211.38187559
13.96875,133209.78407478
14.96875,133208.28185795
15.96875,133208.67043044
16.96875,133210.63192883
17.96875,133213.90714446
18.96875,133218.2880142
19.96875,133223.60731881
20,133223.78852538
