time,E_hw_wet_well
0.03125,129223.89077603
0.09375,132259.61108961
0.21875,134201.63232242
0.46875,135040.69441306
0.96875,135027.32469935
1.96875,134510.16921794
2.96875,134069.81555548
3.96875,133776.47416991
4.96875,133590.2735354
5.96875,133470.96518291
6.96875,133392.29785209
7.96875,133338.81206281
8.96875,133301.55520743
9.96875,133275.24043884
10.96875,133256.62931325
11.96875,133243.65142209
12.96875,133234.92593263
13.96875,133229.49581059
14.96875,133226.67540437
15.96875,133225.95949743
16.96875,133226.96689955
17.96875,133229.40418337
18.96875,133233.04156296
19.46875,133235.26535886
20,133237.88801427
