time,E_hw_wet_well
0.03125,128891.45460042
0.09375,131632.59265596
0.21875,133388.39526548
0.46875,134147.25094248
0.71875,133789.31138791
1.21875,133223.79737761
2.21875,132638.6680387
3.21875,132398.69363914
4.21875,132303.62967127
5.21875,132267.48011249
6.21875,132255.50463381
7.21875,132253.88851003
8.21875,132257.07005306
9.21875,132262.72191671
10.21875,132269.80322242
11.21875,132277.80378153
12.21875,132286.44586347
13.21875,132295.56230514
14.21875,132305.04376259
15.21875,132314.81416048
16.21875,132324.81815624
17.21875,132335.01419381
18.21875,132345.37030192
19.21875,132355.8614262
19.71875,132361.15271303
20.71875,132371.81212155
21.71875,132382.56223062
22.21875,132387.96864431
23.21875,132398.83576088
24.21875,132409.76801375
25.21875,132420.75845434
26.21875,132431.80089182
27.21875,132442.8899553
28.21875,132454.0210083
29.21875,132465.19004403
30.21875,132476.39358793
31.21875,132487.62860755
32.21875,132498.89246439
33.21875,132510.1828252
34.21875,132521.49763725
35.21875,132532.83507339
36.21875,132544.1935205
37.21875,132555.57153942
38.21875,132566.96784012
39.21875,132578.38125689
40,132587.30927665
